timestamp_ms,snapshot_id,server_ts_ms,client_rx_ms,latency_ms,jitter_ms
1765321233094,1,1765321233094,1765321233094,0,0
1765321233145,2,1765321233145,1765321233145,0,0
1765321233196,3,1765321233196,1765321233196,0,0
1765321233247,4,1765321233247,1765321233247,0,0
1765321233298,5,1765321233297,1765321233297,0,0
1765321233349,6,1765321233348,1765321233348,0,0
1765321233400,7,1765321233399,1765321233400,1,1
1765321233451,8,1765321233450,1765321233450,0,1
1765321233501,9,1765321233501,1765321233501,0,0
1765321233552,10,1765321233552,1765321233552,0,0
1765321233603,11,1765321233603,1765321233603,0,0
1765321233653,12,1765321233653,1765321233653,0,0
1765321233704,13,1765321233704,1765321233704,0,0
1765321233755,14,1765321233754,1765321233755,1,1
1765321233806,15,1765321233806,1765321233806,0,1
1765321233857,16,1765321233857,1765321233857,0,0
1765321233909,17,1765321233909,1765321233909,0,0
1765321233960,18,1765321233960,1765321233960,0,0
1765321234011,19,1765321234011,1765321234011,0,0
1765321234062,20,1765321234062,1765321234062,0,0
1765321234113,21,1765321234113,1765321234113,0,0
1765321234164,22,1765321234164,1765321234164,0,0
1765321234215,23,1765321234214,1765321234214,0,0
1765321234265,24,1765321234265,1765321234265,0,0
1765321234316,25,1765321234316,1765321234316,0,0
1765321234367,26,1765321234367,1765321234367,0,0
1765321234418,27,1765321234418,1765321234418,0,0
1765321234469,28,1765321234469,1765321234469,0,0
1765321234520,29,1765321234520,1765321234520,0,0
1765321234571,30,1765321234570,1765321234570,0,0
1765321234621,31,1765321234621,1765321234621,0,0
1765321234673,32,1765321234672,1765321234672,0,0
1765321234724,33,1765321234723,1765321234723,0,0
1765321234774,34,1765321234774,1765321234774,0,0
1765321234825,35,1765321234825,1765321234825,0,0
1765321234876,36,1765321234875,1765321234876,1,1
1765321234927,37,1765321234927,1765321234927,0,1
1765321234978,38,1765321234978,1765321234978,0,0
1765321235029,39,1765321235029,1765321235029,0,0
1765321235080,40,1765321235080,1765321235080,0,0
1765321235131,41,1765321235131,1765321235131,0,0
1765321235182,42,1765321235182,1765321235182,0,0
1765321235233,43,1765321235232,1765321235233,1,1
1765321235283,44,1765321235283,1765321235283,0,1
1765321235334,45,1765321235334,1765321235334,0,0
1765321235386,46,1765321235385,1765321235385,0,0
1765321235436,47,1765321235436,1765321235436,0,0
1765321235487,48,1765321235487,1765321235487,0,0
1765321235538,49,1765321235537,1765321235538,1,1
1765321235588,50,1765321235588,1765321235588,0,1
1765321235639,51,1765321235639,1765321235639,0,0
1765321235690,52,1765321235690,1765321235690,0,0
1765321235741,53,1765321235741,1765321235741,0,0
1765321235792,54,1765321235792,1765321235792,0,0
1765321235842,55,1765321235842,1765321235842,0,0
1765321235893,56,1765321235893,1765321235893,0,0
1765321235944,57,1765321235944,1765321235944,0,0
1765321235995,58,1765321235995,1765321235995,0,0
1765321236046,59,1765321236045,1765321236045,0,0
1765321236147,60,1765321236096,1765321236096,0,0
1765321236199,61,1765321236198,1765321236198,0,0
1765321236250,62,1765321236249,1765321236249,0,0
1765321236300,63,1765321236300,1765321236300,0,0
1765321236351,64,1765321236351,1765321236351,0,0
1765321236403,65,1765321236402,1765321236402,0,0
1765321236453,66,1765321236453,1765321236453,0,0
1765321236504,67,1765321236504,1765321236504,0,0
1765321236555,68,1765321236554,1765321236555,1,1
1765321236606,69,1765321236605,1765321236606,1,0
1765321236656,70,1765321236656,1765321236656,0,1
1765321236707,71,1765321236707,1765321236707,0,0
1765321236758,72,1765321236758,1765321236758,0,0
1765321236809,73,1765321236809,1765321236809,0,0
1765321236860,74,1765321236860,1765321236860,0,0
1765321236912,75,1765321236911,1765321236912,1,1
1765321236963,76,1765321236963,1765321236963,0,1
1765321237014,77,1765321237014,1765321237014,0,0
1765321237065,78,1765321237064,1765321237065,1,1
1765321237115,79,1765321237115,1765321237115,0,1
1765321237166,80,1765321237166,1765321237166,0,0
1765321237217,81,1765321237217,1765321237217,0,0
1765321237268,82,1765321237267,1765321237268,1,1
1765321237319,83,1765321237318,1765321237319,1,0
1765321237369,84,1765321237369,1765321237369,0,1
1765321237420,85,1765321237420,1765321237420,0,0
1765321237471,86,1765321237470,1765321237471,1,1
1765321237522,87,1765321237521,1765321237521,0,1
1765321237572,88,1765321237572,1765321237572,0,0
1765321237623,89,1765321237623,1765321237623,0,0
1765321237673,90,1765321237673,1765321237673,0,0
1765321237724,91,1765321237724,1765321237724,0,0
1765321237775,92,1765321237774,1765321237774,0,0
1765321237825,93,1765321237825,1765321237825,0,0
1765321237877,94,1765321237876,1765321237876,0,0
1765321237927,95,1765321237927,1765321237927,0,0
1765321237980,96,1765321237979,1765321237979,0,0
1765321238030,97,1765321238030,1765321238030,0,0
1765321238081,98,1765321238081,1765321238081,0,0
1765321238132,99,1765321238132,1765321238132,0,0
1765321238183,100,1765321238183,1765321238183,0,0
1765321238233,101,1765321238233,1765321238233,0,0
1765321238284,102,1765321238284,1765321238284,0,0
1765321238335,103,1765321238335,1765321238335,0,0
1765321238386,104,1765321238386,1765321238386,0,0
1765321238437,105,1765321238437,1765321238437,0,0
