timestamp_ms,player_id,event_id,row,col,client_ts_ms,server_rx_ms,latency_ms
1765318867248,1,1,0,0,1765318867248,1765318867248,0
1765318868569,1,2,1,1,1765318868568,1765318868569,1
1765318870322,1,3,3,5,1765318870322,1765318870322,0
1765319303756,1,1,0,0,1765319303755,1765319303756,1
1765319305450,1,2,1,1,1765319305449,1765319305450,1
1765319312781,1,3,3,5,1765319312780,1765319312781,1
1765319330889,2,1,0,0,1765319330889,1765319330889,0
1765319494834,1,1,0,0,1765319494834,1765319494834,0
1765319495757,1,2,1,1,1765319495757,1765319495757,0
1765319498042,1,3,3,5,1765319498042,1765319498042,0
1765319514599,2,1,0,0,1765319514599,1765319514599,0
1765321297476,4,1,0,0,1765321297476,1765321297476,0
1765321375108,2,1,0,0,1765321375108,1765321375108,0
1765321399723,3,1,0,0,1765321399723,1765321399723,0
1765321411656,4,2,1,0,1765321411656,1765321411656,0
1765321478755,1,1,1,0,1765321478754,1765321478755,1
1765321485438,2,1,0,0,1765321485437,1765321485438,1
1765321700708,1,1,0,0,1765321700708,1765321700708,0
1765321704895,2,1,1,0,1765321704894,1765321704895,1
1765321711882,1,2,1,1,1765321711882,1765321711882,0
1765321721338,2,2,1,1,1765321721337,1765321721338,1
1766620732930,1,1,11,9,1766620732928,1766620732930,2
1766620752912,2,1,4,14,1766620752905,1766620752912,7
1766620756222,1,2,15,10,1766620756221,1766620756222,1
1766620758631,2,2,11,15,1766620758630,1766620758631,1
1766620760131,1,3,5,7,1766620760130,1766620760131,1
1766620763868,2,3,7,3,1766620763865,1766620763868,3
1766620765634,1,4,2,5,1766620765633,1766620765634,1
1766620767568,2,4,2,17,1766620767567,1766620767568,1
1766620768950,1,5,17,18,1766620768947,1766620768950,3
1766620770051,1,6,17,1,1766620770050,1766620770051,1
1766620772899,2,5,11,12,1766620772898,1766620772899,1
1766620774434,1,7,10,5,1766620774433,1766620774434,1
1766620775451,1,8,16,4,1766620775449,1766620775451,2
1766620776334,1,9,13,10,1766620776331,1766620776334,3
1766620777238,1,10,6,13,1766620777237,1766620777238,1
1766620778375,2,6,7,16,1766620778369,1766620778375,6
1766620779134,2,7,11,18,1766620779133,1766620779134,1
1766620780075,2,8,17,12,1766620780074,1766620780075,1
1766620781741,2,9,18,8,1766620781740,1766620781741,1
1766620782906,2,10,13,2,1766620782905,1766620782906,1
1766620783917,2,11,10,2,1766620783916,1766620783917,1
1766620784783,2,12,7,12,1766620784782,1766620784783,1
1766620785632,2,13,9,14,1766620785631,1766620785632,1
1766620787254,1,11,5,11,1766620787251,1766620787254,3
1766620787967,1,12,9,8,1766620787966,1766620787967,1
1766620788717,1,13,4,3,1766620788714,1766620788717,3
1766620789515,1,14,7,7,1766620789514,1766620789515,1
1766620790263,1,15,4,11,1766620790262,1766620790263,1
1766620791865,2,14,5,17,1766620791865,1766620791865,0
1766620792562,2,15,1,10,1766620792561,1766620792562,1
1766620793148,2,16,3,6,1766620793147,1766620793148,1
1766620793858,2,17,10,12,1766620793855,1766620793858,3
1766620794495,2,18,13,15,1766620794494,1766620794495,1
1766620795143,2,19,17,15,1766620795142,1766620795143,1
