timestamp_ms,snapshot_id,server_ts_ms,client_rx_ms,latency_ms,jitter_ms
1765321254847,106,1765321254847,1765321254847,0,0
1765321254898,107,1765321254898,1765321254898,0,0
1765321254949,108,1765321254949,1765321254949,0,0
1765321255000,109,1765321255000,1765321255000,0,0
1765321255051,110,1765321255051,1765321255051,0,0
1765321255102,111,1765321255102,1765321255102,0,0
1765321255153,112,1765321255152,1765321255153,1,1
1765321255204,113,1765321255203,1765321255203,0,1
1765321255254,114,1765321255254,1765321255254,0,0
1765321255305,115,1765321255305,1765321255305,0,0
1765321255356,116,1765321255356,1765321255356,0,0
1765321255407,117,1765321255407,1765321255407,0,0
1765321255458,118,1765321255458,1765321255458,0,0
1765321255510,119,1765321255510,1765321255510,0,0
1765321255561,120,1765321255561,1765321255561,0,0
1765321255613,121,1765321255612,1765321255612,0,0
1765321255664,122,1765321255664,1765321255664,0,0
1765321255715,123,1765321255715,1765321255715,0,0
1765321255766,124,1765321255766,1765321255766,0,0
1765321255817,125,1765321255817,1765321255817,0,0
1765321255868,126,1765321255868,1765321255868,0,0
1765321255919,127,1765321255918,1765321255918,0,0
1765321255969,128,1765321255969,1765321255969,0,0
1765321256020,129,1765321256020,1765321256020,0,0
1765321256071,130,1765321256071,1765321256071,0,0
1765321256122,131,1765321256121,1765321256122,1,1
1765321256173,132,1765321256172,1765321256172,0,1
1765321256224,133,1765321256223,1765321256223,0,0
1765321256275,134,1765321256274,1765321256274,0,0
1765321256326,135,1765321256325,1765321256325,0,0
1765321256376,136,1765321256376,1765321256376,0,0
1765321256427,137,1765321256427,1765321256427,0,0
1765321256478,138,1765321256478,1765321256478,0,0
1765321256529,139,1765321256528,1765321256528,0,0
1765321256579,140,1765321256579,1765321256579,0,0
1765321256630,141,1765321256630,1765321256630,0,0
1765321256681,142,1765321256681,1765321256681,0,0
1765321256732,143,1765321256731,1765321256731,0,0
1765321256782,144,1765321256782,1765321256782,0,0
1765321256833,145,1765321256833,1765321256833,0,0
1765321256884,146,1765321256883,1765321256883,0,0
1765321256935,147,1765321256935,1765321256935,0,0
1765321256986,148,1765321256986,1765321256986,0,0
1765321257037,149,1765321257037,1765321257037,0,0
1765321257088,150,1765321257088,1765321257088,0,0
1765321257139,151,1765321257139,1765321257139,0,0
1765321257190,152,1765321257189,1765321257190,1,1
1765321257241,153,1765321257240,1765321257240,0,1
1765321257292,154,1765321257291,1765321257291,0,0
1765321257343,155,1765321257342,1765321257343,1,1
1765321257394,156,1765321257393,1765321257393,0,1
1765321257445,157,1765321257444,1765321257444,0,0
1765321257498,158,1765321257497,1765321257497,0,0
1765321257548,159,1765321257548,1765321257548,0,0
1765321257599,160,1765321257599,1765321257599,0,0
1765321257650,161,1765321257650,1765321257650,0,0
1765321257701,162,1765321257701,1765321257701,0,0
1765321257752,163,1765321257752,1765321257752,0,0
1765321257803,164,1765321257802,1765321257802,0,0
1765321257854,165,1765321257853,1765321257853,0,0
1765321257905,166,1765321257905,1765321257905,0,0
1765321257956,167,1765321257955,1765321257956,1,1
1765321258007,168,1765321258007,1765321258007,0,1
1765321258058,169,1765321258058,1765321258058,0,0
1765321258109,170,1765321258109,1765321258109,0,0
1765321258160,171,1765321258159,1765321258159,0,0
1765321258211,172,1765321258211,1765321258211,0,0
1765321258261,173,1765321258261,1765321258261,0,0
1765321258312,174,1765321258312,1765321258312,0,0
1765321258363,175,1765321258363,1765321258363,0,0
1765321258414,176,1765321258413,1765321258413,0,0
1765321258464,177,1765321258464,1765321258464,0,0
1765321258515,178,1765321258515,1765321258515,0,0
1765321258566,179,1765321258566,1765321258566,0,0
1765321258617,180,1765321258617,1765321258617,0,0
1765321258668,181,1765321258668,1765321258668,0,0
1765321258719,182,1765321258718,1765321258718,0,0
1765321258769,183,1765321258769,1765321258769,0,0
1765321258820,184,1765321258820,1765321258820,0,0
1765321258870,185,1765321258870,1765321258870,0,0
1765321258921,186,1765321258921,1765321258921,0,0
1765321258972,187,1765321258972,1765321258972,0,0
1765321259023,188,1765321259023,1765321259023,0,0
1765321259074,189,1765321259073,1765321259074,1,1
1765321259125,190,1765321259124,1765321259124,0,1
1765321259176,191,1765321259175,1765321259175,0,0
1765321259227,192,1765321259227,1765321259227,0,0
1765321259278,193,1765321259278,1765321259278,0,0
1765321259329,194,1765321259328,1765321259328,0,0
1765321259380,195,1765321259379,1765321259379,0,0
1765321259431,196,1765321259430,1765321259430,0,0
1765321259482,197,1765321259481,1765321259481,0,0
1765321259532,198,1765321259532,1765321259532,0,0
1765321259583,199,1765321259583,1765321259583,0,0
1765321259634,200,1765321259633,1765321259634,1,1
1765321259685,201,1765321259685,1765321259685,0,1
1765321259736,202,1765321259735,1765321259735,0,0
1765321259786,203,1765321259786,1765321259786,0,0
1765321259837,204,1765321259837,1765321259837,0,0
1765321259888,205,1765321259888,1765321259888,0,0
1765321259939,206,1765321259939,1765321259939,0,0
1765321259990,207,1765321259989,1765321259990,1,1
1765321260041,208,1765321260040,1765321260041,1,0
1765321260092,209,1765321260091,1765321260092,1,0
1765321260142,210,1765321260142,1765321260142,0,1
1765321260193,211,1765321260193,1765321260193,0,0
1765321260244,212,1765321260244,1765321260244,0,0
1765321260295,213,1765321260295,1765321260295,0,0
1765321260346,214,1765321260346,1765321260346,0,0
1765321260397,215,1765321260397,1765321260397,0,0
1765321260448,216,1765321260447,1765321260448,1,1
