timestamp_ms,snapshot_id,server_ts_ms,client_rx_ms,latency_ms,jitter_ms
1765319325114,484,1765319325114,1765319325114,0,0
1765319325165,485,1765319325165,1765319325165,0,0
1765319325219,486,1765319325219,1765319325219,0,0
1765319325270,487,1765319325270,1765319325270,0,0
1765319325321,488,1765319325321,1765319325321,0,0
1765319325372,489,1765319325372,1765319325372,0,0
1765319325423,490,1765319325423,1765319325423,0,0
1765319325474,491,1765319325474,1765319325474,0,0
1765319325525,492,1765319325525,1765319325525,0,0
1765319325576,493,1765319325575,1765319325576,1,1
1765319325627,494,1765319325626,1765319325626,0,1
1765319325678,495,1765319325678,1765319325678,0,0
1765319325731,496,1765319325731,1765319325731,0,0
1765319325782,497,1765319325782,1765319325782,0,0
1765319325833,498,1765319325833,1765319325833,0,0
1765319325884,499,1765319325884,1765319325884,0,0
1765319325935,500,1765319325935,1765319325935,0,0
1765319325987,501,1765319325987,1765319325987,0,0
1765319326038,502,1765319326038,1765319326038,0,0
1765319326089,503,1765319326088,1765319326088,0,0
1765319326140,504,1765319326139,1765319326139,0,0
1765319326190,505,1765319326190,1765319326190,0,0
1765319326242,506,1765319326241,1765319326241,0,0
1765319326293,507,1765319326292,1765319326292,0,0
1765319326344,508,1765319326343,1765319326343,0,0
1765319326395,509,1765319326394,1765319326394,0,0
1765319326446,510,1765319326445,1765319326445,0,0
1765319326497,511,1765319326496,1765319326497,1,1
1765319326548,512,1765319326548,1765319326548,0,1
1765319326599,513,1765319326599,1765319326599,0,0
1765319326650,514,1765319326649,1765319326649,0,0
1765319326700,515,1765319326700,1765319326700,0,0
1765319326751,516,1765319326751,1765319326751,0,0
1765319326802,517,1765319326802,1765319326802,0,0
1765319326854,518,1765319326854,1765319326854,0,0
1765319326905,519,1765319326905,1765319326905,0,0
1765319326956,520,1765319326956,1765319326956,0,0
1765319327008,521,1765319327007,1765319327007,0,0
1765319327058,522,1765319327058,1765319327058,0,0
1765319327109,523,1765319327109,1765319327109,0,0
1765319327161,524,1765319327160,1765319327160,0,0
1765319327212,525,1765319327211,1765319327211,0,0
1765319327263,526,1765319327263,1765319327263,0,0
1765319327314,527,1765319327314,1765319327314,0,0
1765319327365,528,1765319327365,1765319327365,0,0
1765319327416,529,1765319327416,1765319327416,0,0
1765319327468,530,1765319327467,1765319327468,1,1
1765319327519,531,1765319327519,1765319327519,0,1
1765319327570,532,1765319327570,1765319327570,0,0
1765319327621,533,1765319327621,1765319327621,0,0
1765319327673,534,1765319327672,1765319327672,0,0
1765319327724,535,1765319327723,1765319327724,1,1
1765319327775,536,1765319327775,1765319327775,0,1
1765319327829,537,1765319327828,1765319327828,0,0
1765319327880,538,1765319327880,1765319327880,0,0
1765319327931,539,1765319327931,1765319327931,0,0
1765319327982,540,1765319327981,1765319327981,0,0
1765319328033,541,1765319328032,1765319328032,0,0
1765319328083,542,1765319328083,1765319328083,0,0
1765319328134,543,1765319328134,1765319328134,0,0
1765319328185,544,1765319328185,1765319328185,0,0
1765319328236,545,1765319328236,1765319328236,0,0
1765319328287,546,1765319328287,1765319328287,0,0
1765319328338,547,1765319328338,1765319328338,0,0
1765319328389,548,1765319328389,1765319328389,0,0
1765319328440,549,1765319328440,1765319328440,0,0
1765319328491,550,1765319328491,1765319328491,0,0
1765319328543,551,1765319328542,1765319328542,0,0
1765319328593,552,1765319328593,1765319328593,0,0
1765319328645,553,1765319328645,1765319328645,0,0
1765319328696,554,1765319328696,1765319328696,0,0
1765319328747,555,1765319328747,1765319328747,0,0
1765319328799,556,1765319328798,1765319328799,1,1
1765319328851,557,1765319328850,1765319328851,1,0
1765319328902,558,1765319328902,1765319328902,0,1
1765319328953,559,1765319328953,1765319328953,0,0
1765319329004,560,1765319329004,1765319329004,0,0
1765319329055,561,1765319329055,1765319329055,0,0
1765319329106,562,1765319329106,1765319329106,0,0
1765319329157,563,1765319329157,1765319329157,0,0
