timestamp_ms,snapshot_id,server_ts_ms,client_rx_ms,latency_ms,jitter_ms
1765321368119,1,1765321368119,1765321368119,0,0
1765321368170,2,1765321368170,1765321368170,0,0
1765321368221,3,1765321368221,1765321368221,0,0
1765321368272,4,1765321368272,1765321368272,0,0
1765321368337,5,1765321368323,1765321368323,0,0
1765321368388,6,1765321368388,1765321368388,0,0
1765321368439,7,1765321368439,1765321368439,0,0
1765321368490,8,1765321368489,1765321368489,0,0
1765321368540,9,1765321368540,1765321368540,0,0
1765321368591,10,1765321368591,1765321368591,0,0
1765321368642,11,1765321368642,1765321368642,0,0
1765321368693,12,1765321368693,1765321368693,0,0
1765321368744,13,1765321368744,1765321368744,0,0
1765321368795,14,1765321368795,1765321368795,0,0
1765321368846,15,1765321368846,1765321368846,0,0
1765321368897,16,1765321368896,1765321368896,0,0
1765321368947,17,1765321368947,1765321368947,0,0
1765321368998,18,1765321368998,1765321368998,0,0
1765321369049,19,1765321369049,1765321369049,0,0
1765321369100,20,1765321369100,1765321369100,0,0
1765321369151,21,1765321369150,1765321369150,0,0
1765321369202,22,1765321369201,1765321369201,0,0
1765321369253,23,1765321369253,1765321369253,0,0
1765321369304,24,1765321369304,1765321369304,0,0
1765321369356,25,1765321369355,1765321369355,0,0
1765321369407,26,1765321369406,1765321369406,0,0
1765321369458,27,1765321369457,1765321369457,0,0
1765321369508,28,1765321369508,1765321369508,0,0
1765321369560,29,1765321369559,1765321369559,0,0
1765321369610,30,1765321369610,1765321369610,0,0
1765321369661,31,1765321369661,1765321369661,0,0
1765321369712,32,1765321369712,1765321369712,0,0
1765321369763,33,1765321369762,1765321369762,0,0
1765321369813,34,1765321369813,1765321369813,0,0
1765321369864,35,1765321369864,1765321369864,0,0
1765321369914,36,1765321369914,1765321369914,0,0
1765321369965,37,1765321369965,1765321369965,0,0
1765321370016,38,1765321370015,1765321370015,0,0
1765321370067,39,1765321370066,1765321370067,1,1
1765321370118,40,1765321370118,1765321370118,0,1
1765321370169,41,1765321370168,1765321370168,0,0
1765321370219,42,1765321370219,1765321370219,0,0
1765321370271,43,1765321370270,1765321370270,0,0
1765321370321,44,1765321370321,1765321370321,0,0
1765321370372,45,1765321370372,1765321370372,0,0
1765321370423,46,1765321370423,1765321370423,0,0
1765321370474,47,1765321370474,1765321370474,0,0
1765321370525,48,1765321370524,1765321370525,1,1
1765321370576,49,1765321370576,1765321370576,0,1
1765321370627,50,1765321370627,1765321370627,0,0
1765321370678,51,1765321370677,1765321370678,1,1
1765321370729,52,1765321370728,1765321370728,0,1
1765321370779,53,1765321370779,1765321370779,0,0
1765321370830,54,1765321370830,1765321370830,0,0
1765321370881,55,1765321370880,1765321370881,1,1
1765321370931,56,1765321370931,1765321370931,0,1
1765321370982,57,1765321370982,1765321370982,0,0
1765321371033,58,1765321371033,1765321371033,0,0
1765321371084,59,1765321371084,1765321371084,0,0
1765321371136,60,1765321371136,1765321371136,0,0
1765321371187,61,1765321371187,1765321371187,0,0
1765321371238,62,1765321371238,1765321371238,0,0
1765321371289,63,1765321371289,1765321371289,0,0
1765321371339,64,1765321371339,1765321371339,0,0
1765321371391,65,1765321371390,1765321371390,0,0
1765321371441,66,1765321371441,1765321371441,0,0
