timestamp_ms,snapshot_id,server_ts_ms,client_rx_ms,latency_ms,jitter_ms
1765321260448,216,1765321260447,1765321260448,1,0
1765321260499,217,1765321260499,1765321260499,0,1
1765321260550,218,1765321260550,1765321260550,0,0
1765321260601,219,1765321260601,1765321260601,0,0
1765321260652,220,1765321260651,1765321260652,1,1
1765321260704,221,1765321260704,1765321260704,0,1
1765321260756,222,1765321260755,1765321260756,1,1
1765321260806,223,1765321260806,1765321260806,0,1
1765321260857,224,1765321260857,1765321260857,0,0
1765321260909,225,1765321260909,1765321260909,0,0
1765321260961,226,1765321260961,1765321260961,0,0
1765321261013,227,1765321261012,1765321261012,0,0
1765321261063,228,1765321261063,1765321261063,0,0
1765321261114,229,1765321261114,1765321261114,0,0
1765321261165,230,1765321261164,1765321261164,0,0
1765321261215,231,1765321261215,1765321261215,0,0
1765321261266,232,1765321261266,1765321261266,0,0
1765321261317,233,1765321261317,1765321261317,0,0
1765321261368,234,1765321261368,1765321261368,0,0
1765321261419,235,1765321261418,1765321261419,1,1
1765321261469,236,1765321261469,1765321261469,0,1
1765321261520,237,1765321261520,1765321261520,0,0
1765321261571,238,1765321261571,1765321261571,0,0
1765321261622,239,1765321261622,1765321261622,0,0
1765321261673,240,1765321261673,1765321261673,0,0
1765321261724,241,1765321261723,1765321261723,0,0
1765321261775,242,1765321261774,1765321261774,0,0
1765321261826,243,1765321261826,1765321261826,0,0
1765321261878,244,1765321261877,1765321261877,0,0
1765321261929,245,1765321261929,1765321261929,0,0
1765321261979,246,1765321261979,1765321261979,0,0
1765321262031,247,1765321262030,1765321262030,0,0
1765321262082,248,1765321262081,1765321262082,1,1
1765321262133,249,1765321262132,1765321262132,0,1
1765321262183,250,1765321262183,1765321262183,0,0
1765321262234,251,1765321262234,1765321262234,0,0
1765321262285,252,1765321262284,1765321262284,0,0
1765321262336,253,1765321262335,1765321262336,1,1
1765321262387,254,1765321262386,1765321262386,0,1
1765321262437,255,1765321262437,1765321262437,0,0
1765321262488,256,1765321262487,1765321262488,1,1
1765321262539,257,1765321262538,1765321262538,0,1
1765321262589,258,1765321262589,1765321262589,0,0
1765321262640,259,1765321262640,1765321262640,0,0
1765321262690,260,1765321262690,1765321262690,0,0
1765321262741,261,1765321262741,1765321262741,0,0
1765321262792,262,1765321262792,1765321262792,0,0
1765321262844,263,1765321262843,1765321262843,0,0
1765321262894,264,1765321262894,1765321262894,0,0
1765321262945,265,1765321262945,1765321262945,0,0
1765321262995,266,1765321262995,1765321262995,0,0
1765321263047,267,1765321263046,1765321263047,1,1
1765321263098,268,1765321263097,1765321263098,1,0
1765321263149,269,1765321263148,1765321263148,0,1
1765321263199,270,1765321263199,1765321263199,0,0
1765321263250,271,1765321263250,1765321263250,0,0
1765321263301,272,1765321263301,1765321263301,0,0
1765321263352,273,1765321263351,1765321263351,0,0
1765321263402,274,1765321263402,1765321263402,0,0
1765321263454,275,1765321263453,1765321263453,0,0
1765321263504,276,1765321263504,1765321263504,0,0
1765321263555,277,1765321263555,1765321263555,0,0
1765321263606,278,1765321263606,1765321263606,0,0
1765321263657,279,1765321263657,1765321263657,0,0
1765321263709,280,1765321263708,1765321263709,1,1
1765321263760,281,1765321263760,1765321263760,0,1
1765321263810,282,1765321263810,1765321263810,0,0
1765321263861,283,1765321263861,1765321263861,0,0
1765321263912,284,1765321263912,1765321263912,0,0
1765321263963,285,1765321263962,1765321263962,0,0
1765321264013,286,1765321264013,1765321264013,0,0
1765321264064,287,1765321264064,1765321264064,0,0
1765321264115,288,1765321264115,1765321264115,0,0
1765321264166,289,1765321264166,1765321264166,0,0
1765321264216,290,1765321264216,1765321264216,0,0
1765321264268,291,1765321264267,1765321264267,0,0
1765321264319,292,1765321264318,1765321264318,0,0
1765321264369,293,1765321264369,1765321264369,0,0
1765321264420,294,1765321264420,1765321264420,0,0
1765321264471,295,1765321264471,1765321264471,0,0
1765321264522,296,1765321264521,1765321264522,1,1
1765321264573,297,1765321264572,1765321264572,0,1
1765321264624,298,1765321264623,1765321264623,0,0
1765321264674,299,1765321264674,1765321264674,0,0
1765321264725,300,1765321264725,1765321264725,0,0
1765321264776,301,1765321264776,1765321264776,0,0
1765321264827,302,1765321264827,1765321264827,0,0
1765321264878,303,1765321264878,1765321264878,0,0
1765321264929,304,1765321264929,1765321264929,0,0
1765321264980,305,1765321264980,1765321264980,0,0
1765321265031,306,1765321265031,1765321265031,0,0
1765321265082,307,1765321265082,1765321265082,0,0
1765321265133,308,1765321265133,1765321265133,0,0
1765321265183,309,1765321265183,1765321265183,0,0
1765321265234,310,1765321265234,1765321265234,0,0
1765321265285,311,1765321265285,1765321265285,0,0
1765321265336,312,1765321265335,1765321265336,1,1
1765321265386,313,1765321265386,1765321265386,0,1
1765321265437,314,1765321265437,1765321265437,0,0
1765321265488,315,1765321265488,1765321265488,0,0
