timestamp_ms,snapshot_id,server_ts_ms,client_rx_ms,latency_ms,jitter_ms
1765321468435,1,1765321468434,1765321468434,0,0
1765321468485,2,1765321468485,1765321468485,0,0
1765321468536,3,1765321468536,1765321468536,0,0
1765321468587,4,1765321468586,1765321468586,0,0
1765321468637,5,1765321468637,1765321468637,0,0
1765321468689,6,1765321468688,1765321468688,0,0
1765321468740,7,1765321468739,1765321468739,0,0
1765321468791,8,1765321468790,1765321468790,0,0
1765321468842,9,1765321468841,1765321468842,1,1
1765321468893,10,1765321468893,1765321468893,0,1
1765321468944,11,1765321468944,1765321468944,0,0
1765321468996,12,1765321468996,1765321468996,0,0
1765321469052,13,1765321469051,1765321469051,0,0
1765321469103,14,1765321469103,1765321469103,0,0
1765321469154,15,1765321469154,1765321469154,0,0
1765321469205,16,1765321469204,1765321469204,0,0
1765321469256,17,1765321469255,1765321469255,0,0
1765321469306,18,1765321469306,1765321469306,0,0
1765321469357,19,1765321469356,1765321469356,0,0
1765321469407,20,1765321469407,1765321469407,0,0
1765321469458,21,1765321469458,1765321469458,0,0
1765321469509,22,1765321469509,1765321469509,0,0
1765321469560,23,1765321469560,1765321469560,0,0
1765321469610,24,1765321469610,1765321469610,0,0
1765321469661,25,1765321469661,1765321469661,0,0
1765321469712,26,1765321469712,1765321469712,0,0
1765321469763,27,1765321469763,1765321469763,0,0
1765321469814,28,1765321469814,1765321469814,0,0
1765321469865,29,1765321469865,1765321469865,0,0
1765321469916,30,1765321469916,1765321469916,0,0
1765321469967,31,1765321469967,1765321469967,0,0
1765321470018,32,1765321470018,1765321470018,0,0
1765321470069,33,1765321470069,1765321470069,0,0
1765321470120,34,1765321470120,1765321470120,0,0
1765321470171,35,1765321470170,1765321470170,0,0
1765321470221,36,1765321470221,1765321470221,0,0
1765321470273,37,1765321470272,1765321470272,0,0
1765321470323,38,1765321470323,1765321470323,0,0
1765321470374,39,1765321470374,1765321470374,0,0
1765321470425,40,1765321470425,1765321470425,0,0
1765321470476,41,1765321470475,1765321470476,1,1
1765321470527,42,1765321470527,1765321470527,0,1
1765321470578,43,1765321470577,1765321470577,0,0
1765321470628,44,1765321470628,1765321470628,0,0
1765321470679,45,1765321470679,1765321470679,0,0
1765321470730,46,1765321470730,1765321470730,0,0
1765321470781,47,1765321470781,1765321470781,0,0
1765321470832,48,1765321470832,1765321470832,0,0
1765321470883,49,1765321470883,1765321470883,0,0
1765321470934,50,1765321470934,1765321470934,0,0
1765321470985,51,1765321470984,1765321470984,0,0
1765321471036,52,1765321471035,1765321471035,0,0
1765321471087,53,1765321471086,1765321471086,0,0
1765321471138,54,1765321471137,1765321471137,0,0
1765321471188,55,1765321471188,1765321471188,0,0
1765321471239,56,1765321471238,1765321471239,1,1
1765321471290,57,1765321471289,1765321471290,1,0
1765321471341,58,1765321471340,1765321471341,1,0
1765321471392,59,1765321471391,1765321471391,0,1
1765321471442,60,1765321471442,1765321471442,0,0
1765321471493,61,1765321471493,1765321471493,0,0
1765321471544,62,1765321471544,1765321471544,0,0
1765321471595,63,1765321471595,1765321471595,0,0
1765321471646,64,1765321471646,1765321471646,0,0
1765321471697,65,1765321471697,1765321471697,0,0
1765321471748,66,1765321471748,1765321471748,0,0
1765321471799,67,1765321471798,1765321471798,0,0
1765321471849,68,1765321471849,1765321471849,0,0
1765321471901,69,1765321471901,1765321471901,0,0
1765321471952,70,1765321471952,1765321471952,0,0
1765321472003,71,1765321472002,1765321472002,0,0
1765321472053,72,1765321472053,1765321472053,0,0
1765321472105,73,1765321472104,1765321472104,0,0
1765321472156,74,1765321472155,1765321472155,0,0
1765321472207,75,1765321472206,1765321472206,0,0
1765321472257,76,1765321472257,1765321472257,0,0
1765321472308,77,1765321472308,1765321472308,0,0
1765321472359,78,1765321472359,1765321472359,0,0
1765321472410,79,1765321472410,1765321472410,0,0
1765321472462,80,1765321472461,1765321472461,0,0
1765321472515,81,1765321472513,1765321472515,2,2
1765321472566,82,1765321472566,1765321472566,0,2
1765321472617,83,1765321472617,1765321472617,0,0
1765321472668,84,1765321472667,1765321472668,1,1
1765321472719,85,1765321472719,1765321472719,0,1
1765321472770,86,1765321472770,1765321472770,0,0
1765321472821,87,1765321472821,1765321472821,0,0
1765321472872,88,1765321472872,1765321472872,0,0
1765321472923,89,1765321472923,1765321472923,0,0
1765321472975,90,1765321472974,1765321472974,0,0
1765321473026,91,1765321473025,1765321473025,0,0
1765321473077,92,1765321473076,1765321473077,1,1
1765321473128,93,1765321473127,1765321473127,0,1
1765321473179,94,1765321473178,1765321473178,0,0
1765321473230,95,1765321473229,1765321473229,0,0
1765321473281,96,1765321473281,1765321473281,0,0
1765321473332,97,1765321473331,1765321473332,1,1
1765321473383,98,1765321473383,1765321473383,0,1
1765321473434,99,1765321473434,1765321473434,0,0
1765321473485,100,1765321473485,1765321473485,0,0
1765321478756,160,1765321478756,1765321478756,0,0
1765321478806,161,1765321478806,1765321478806,0,0
1765321478858,162,1765321478857,1765321478857,0,0
1765321478908,163,1765321478908,1765321478908,0,0
1765321478959,164,1765321478958,1765321478958,0,0
1765321479010,165,1765321479009,1765321479009,0,0
1765321479060,166,1765321479060,1765321479060,0,0
1765321479111,167,1765321479111,1765321479111,0,0
1765321479163,168,1765321479162,1765321479163,1,1
1765321479214,169,1765321479213,1765321479213,0,1
1765321479264,170,1765321479264,1765321479264,0,0
1765321479315,171,1765321479315,1765321479315,0,0
1765321479366,172,1765321479366,1765321479366,0,0
1765321479417,173,1765321479417,1765321479417,0,0
1765321479467,174,1765321479467,1765321479467,0,0
1765321479519,175,1765321479519,1765321479519,0,0
1765321479570,176,1765321479570,1765321479570,0,0
1765321479623,177,1765321479622,1765321479622,0,0
1765321479673,178,1765321479673,1765321479673,0,0
